Name,Depth (ft),Depth (m),TC_Leco (%),TOC_Leco (%),S1 (mg HC/g rock),S2 (mg HC/g rock),S3 (mg HC/g rock),Tmax (°C),HI (mg HC/g TOC),OI (mg CO2/g TOC),PI,Leco_S %,Al %,Ca %,Fe %,K %,Mg %,P %,S %,Si %,Ti %,Ag ppm,As ppm,B ppm,Ba ppm,Be ppm,Bi ppm,Cd ppm,Ce ppm,Co ppm,Cr ppm,Cs ppm,Cu ppm,Dy ppm,Er ppm,Eu ppm,Ga ppm,Gd ppm,Ge ppm,Hf ppm,Ho ppm,In ppm,La ppm,Li ppm,Lu ppm,Mn ppm,Mo ppm,Nb ppm,Nd ppm,Ni ppm,Pb ppm,Pr ppm,Rb ppm,Re ppm,Sb ppm,Sc ppm,Se ppm,Sm ppm,Sn ppm,Sr ppm,Ta ppm,Tb ppm,Te ppm,Th ppm,Tl ppm,Tm ppm,U ppm,V ppm,W ppm,Y ppm,Yb ppm,Zn ppm,Zr ppm
E170504-184,565.4,172.3,9.6,4.1,0.26,20.64,0.63,412,502,15,0.01,,4.82,18.2,2.35,0.95,0.68,0.05,1.9,11.9,0.3,<1,17,66,158,<5,0.2,1.9,54,10.5,56,3.7,33,2.46,1.35,0.82,12.8,3.11,1,3,0.4,<0.2,32.7,29,0.19,227,38,31.2,20.2,77,10,5.23,60.4,,2.3,8,5,3.7,<1,825,1.5,0.39,<0.5,8,2.9,0.19,10.4,310,<1,12,1.3,128,128
E170504-185,567.4,172.9,9.8,4.5,0.32,23.79,0.68,412,532,15,0.01,,5.14,17.8,2.4,1.02,0.61,0.05,1.7,12.6,0.28,<1,18,68,156,<5,0.2,1.7,44.5,12.7,51,4.4,34,2.41,1.26,0.8,13.3,2.82,<1,2,0.38,<0.2,27.6,34,0.19,238,48,24.1,19.1,77,11,4.95,67.7,,2.4,8,6,3.4,1,841,1.1,0.4,<0.5,7.9,3.3,0.18,11.7,277,<1,11.8,1.4,101,107
E180601-015,567.4,173.0,9.64,3.92,0.34,20.29,0.71,414,518,18,0.02,1.50,4.97,17.3,2.21,1,0.58,0.04,1.45,12.6,0.25,<1,17,65,146,<5,0.2,1.4,49.1,11.4,47,3.8,31,2.36,1.32,0.76,13,2.84,<1,2,0.49,<0.2,26.8,29,0.2,216,44,22,18.6,74,11,5.26,65.7,0.12,2.3,8,5,3.4,<1,826,0.9,0.41,<0.05,7.1,3.3,0.2,10.52,270,<1,11.6,1.3,105,89.4
E170504-186,568.2,173.2,11.0,3.5,0.22,17.03,0.70,413,482,20,0.01,,3.41,24.8,1.78,0.58,0.47,0.06,1.6,7.75,0.16,<1,16,46,96.5,<5,0.2,1.4,38.5,7.6,32,2.2,25,2.01,1.06,0.63,7.92,2.47,<1,1,0.32,<0.2,21.9,20,0.15,331,41,12.5,15.2,62,7,3.69,34.7,,1.9,<5,<5,2.6,1,705,0.6,0.32,<0.5,4.2,2.5,0.15,9.56,278,<1,10.2,1.1,95,66
E170504-187,570.5,173.9,11.5,4.1,0.25,20.59,0.63,413,508,16,0.01,,3.22,24.3,1.58,0.61,0.44,0.05,1.4,7.99,0.18,<1,14,46,103,<5,0.2,1.5,53.9,7.8,36,2.6,27,2.71,1.34,0.72,8.54,3.42,<1,2,0.45,<0.2,29.1,20,0.19,251,35,16.5,22.6,58,9,5.65,40.2,,2.1,6,5,4,<1,832,0.8,0.46,<0.5,4.9,2.5,0.21,10.3,211,2,12.9,1.6,81,81.9
E170504-188,572.5,174.5,12.3,3.9,0.32,20.38,0.69,415,527,18,0.02,,2.33,27.2,1.57,0.48,0.38,0.05,1.7,6.01,0.13,<1,15,37,85.7,<5,0.2,2,28.8,6.9,31,2.1,28,1.73,0.86,0.51,6.52,2.02,<1,1,0.29,<0.2,18.4,15,0.12,269,45,11,12.7,55,7,3.07,32.3,,2,<5,5,2.3,<1,855,<0.5,0.27,<0.5,3.5,2.4,0.13,10.1,235,<1,8.7,1,83,55.2
E170504-189,576.4,175.7,10.4,4.6,0.32,24.09,0.55,411,524,12,0.01,,4.6,19.8,1.96,0.64,0.59,0.05,1.8,10.6,0.21,<1,20,56,103,<5,0.3,1.4,53.5,9.8,37,2.9,31,3.34,1.71,0.9,11.8,3.78,<1,4,0.53,<0.2,27.4,24,0.23,205,50,16.3,24.5,72,15,6.14,42.9,,2.5,7,<5,4.7,2,703,1,0.54,<0.5,8.7,3.3,0.26,13.4,216,<1,15,1.9,102,149
E220102-022,576.5,175.7,9.64,4.96,0.19,25.96,1.02,415,523,21,0.01,,4.54,15.7,2.42,0.91,0.57,0.08,1.7,12.9,0.27,<1,22,63,146,<5,0.2,2,52.6,12.3,51,4.2,34,2.58,1.73,0.83,12.2,3.7,<1,2,0.51,<0.2,27.2,22,0.21,169,44,22.3,21.3,73,12,5.72,64.4,0.14,2.1,8,<5,4.1,<1,666,0.9,0.4,<0.5,6.8,2.6,0.21,13.3,197,<1,14.1,1.5,111,102
E180601-016,578.2,176.2,11.74,4.69,0.52,28.24,0.84,415,602,18,0.02,1.60,3.65,21.4,1.87,0.7,0.43,0.05,1.67,9,0.2,<1,18,61,100,<5,0.2,1.7,58,8.7,38,2.6,40,3.13,1.71,0.92,10,3.61,<1,2,0.62,<0.2,28.8,21,0.25,210,52,18,23.9,74,12,6.65,41.8,0.13,2.7,6,5,4.5,<1,705,0.7,0.55,0.07,5.7,3,0.25,11.74,253,<1,15.5,1.8,118,98.5
E170504-190,578.4,176.3,9.8,4.7,0.30,25.49,0.61,413,538,13,0.01,,5.24,16.5,2.9,0.93,0.62,0.06,2.5,12.8,0.28,<1,28,78,146,<5,0.3,1.9,43.6,14.1,48,4.4,34,2.59,1.35,0.78,13.3,3,1,3,0.43,<0.2,25,31,0.22,182,53,16,19,86,13,4.76,64.1,,3.6,8,<5,3.4,1,653,0.8,0.41,<0.5,7.1,3.7,0.22,13,233,1,12.7,1.6,116,106
E170504-191,581.5,177.2,12.6,4.7,0.38,25.40,0.68,411,540,14,0.01,,2.57,26.5,1.52,0.47,0.37,0.06,1.7,6.38,0.15,<1,15,41,80.9,<5,0.2,2,39.8,7.5,37,2.2,31,2.25,1.2,0.64,7.4,2.55,<1,1,0.36,<0.2,22.2,16,0.17,267,48,12.3,15.4,68,7,3.95,31.3,,2,<5,5,2.9,<1,692,0.6,0.35,<0.5,3.8,3.1,0.15,12.2,279,<1,11.4,1.2,110,64
E180601-017,583.2,177.8,12.62,3.88,0.41,20.93,0.84,413,539,22,0.02,1.00,2.14,>25.0,1.22,0.4,0.31,0.05,1.09,5.4,0.11,<1,12,35,60,<5,0.2,1.6,38.3,5.2,25,1.3,28,1.99,1.14,0.58,6,2.32,<1,1,0.41,<0.2,22.4,10,0.18,310,39,10,14.3,54,7,4.1,21.6,0.11,1.8,<5,3,2.6,<1,700,<0.5,0.33,<0.05,3.8,2.5,0.18,10.73,209,<1,11.7,1.3,96,52.8
E170504-192,583.5,177.9,3.7,1.3,0.09,5.14,0.32,409,384,24,0.02,,7.57,8.07,2.83,0.36,1.77,0.09,2.5,18.7,0.4,<1,47,55,108,<5,0.6,1,20.8,10.2,48,0.8,31,1.27,0.67,0.33,13.6,1.72,<1,6,0.2,<0.2,12.7,49,0.09,282,51,10.3,11.5,49,23,2.61,14.7,,7.8,5,8,2,1,760,1.2,0.2,<0.5,19.5,2.2,0.09,6.47,438,<1,6.6,0.7,74,162
E170504-193,585.5,178.5,11.4,4.9,0.37,28.14,0.58,410,572,12,0.01,,3.96,20.7,1.95,0.76,0.49,0.08,1.9,10.4,0.22,<1,18,58,112,<5,0.3,1.7,43,9.9,47,3.9,32,2.67,1.42,0.8,10.7,3.13,1,2,0.43,<0.2,23.3,25,0.19,231,51,14.8,20.4,76,10,4.7,52.8,,2.1,7,5,3.5,<1,726,0.8,0.41,<0.5,5.6,3.5,0.2,14.2,294,<1,13,1.4,94,89
E180601-018,587.3,179.0,12.23,4.15,0.50,24.45,0.81,412,589,20,0.02,1.71,3.01,24.6,1.79,0.6,0.38,0.09,1.72,6.9,0.16,<1,20,48,70,<5,0.2,1.3,35.8,8,24,1.5,30,2.14,1.18,0.65,7,2.62,<1,2,0.43,<0.2,18.3,13,0.18,326,48,10,15.5,65,8,4.03,26.6,0.14,2.3,<5,3,2.9,<1,637,<0.5,0.37,0.05,3.6,3.2,0.17,12.85,218,<1,11.8,1.2,90,54.2
E170504-194,587.5,179.1,12.4,5.0,0.43,29.46,0.79,411,595,16,0.01,,3.39,24.6,1.62,0.59,0.38,0.04,1.7,7.51,0.16,<1,14,47,75.8,<5,0.2,1.6,25.5,8,32,2.4,31,1.85,1.1,0.56,8.51,2.08,<1,2,0.35,<0.2,16.9,21,0.16,280,55,9.2,12.3,63,7,3.05,32.6,,1.6,5,<5,2.2,<1,629,<0.5,0.28,<0.5,3.5,3.1,0.16,11.6,240,<1,9.3,1.1,84,68.9
E170504-195,589.5,179.7,13.2,5.0,0.38,27.92,0.83,412,564,17,0.01,,2.61,27,1.73,0.51,0.34,0.19,1.9,6.24,0.14,<1,16,46,75.7,<5,0.2,2.1,52.4,9,32,2.1,31,3.72,1.83,1.19,7.78,4.7,<1,1,0.59,<0.2,29.4,18,0.2,330,58,8.7,26.5,65,7,6.12,30.6,,1.7,<5,<5,5.1,<1,704,0.5,0.58,<0.5,3.1,3.5,0.24,21.7,189,<1,18.2,1.6,106,57.2
