map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev (feet),Ref,sample #,top (feet),bottom (feet),Formation,% CaCO3      (TC-TOC)*8.33,Tmax °C,S1       mgHC/g-rock,S2       mgHC/g-rock,GP  S1+S2,S3       mgCO2/g-rock,PI  S1/(S1+S2),S2/S3,LECO TOC Wt. %,TC Wt. %,HI    (S2/TOC)*100,OI     (S3/TOC)*100,(S1/TOC)*100,CRC ,LIMS ID,,,,,,
8,4900720673,Amoco Prod. Co.,Creston SE 5,41.646297,-107.600038,19N,91W,1,C SW,Sixth Principal,"6,807",KB,GRB-2021-37,"8,380","8,400",Asquith,11.83,429,0.29,5.68,5.97,0.53,0.05,11,2.18,3.60,261,24,13,CZ15290,E210502-037,,,,,,
8,4900720673,Amoco Prod. Co.,Creston SE 5,41.646297,-107.600038,19N,91W,1,C SW,Sixth Principal,"6,807",KB,GRB-2021-38,"8,610","8,620",Lewis,8.41,434,0.12,2.04,2.16,0.45,0.06,5,1.47,2.48,139,31,8,CZ15290,E210502-038,,,,,,
8,4900720673,Amoco Prod. Co.,Creston SE 5,41.646297,-107.600038,19N,91W,1,C SW,Sixth Principal,"6,807",KB,GRB-2021-39,"8,660","8,670",Lewis,8.25,434,0.16,1.73,1.89,0.32,0.08,5,1.38,2.37,126,23,12,CZ15290,E210502-039,,,,,,
9,0510706054,Texas Pacific Oil Co.,1 Bear,40.540429,-107.340993,7N,89W,26,NW NE,Sixth Principal,"6,949",KB,GRB-2021-40,"2,650","2,680",Lewis,9.33,431,0.1,1.51,1.61,0.52,0.06,3,1.28,2.40,118,41,8,DZ21010,E210502-040,,,,,,
9,0510706054,Texas Pacific Oil Co.,1 Bear,40.540429,-107.340993,7N,89W,26,NW NE,Sixth Principal,"6,949",KB,GRB-2021-41,"2,680","2,710",Lewis,9.08,433,0.07,1.47,1.54,0.63,0.05,2,1.38,2.47,107,46,5,DZ21010,E210502-041,,,,,,
9,0510706054,Texas Pacific Oil Co.,1 Bear,40.540429,-107.340993,7N,89W,26,NW NE,Sixth Principal,"6,949",KB,GRB-2021-42,"2,860","2,890",Asquith,9.25,431,0.12,2.17,2.29,0.69,0.05,3,1.54,2.65,141,45,8,DZ21010,E210502-042,,,,,,
9,0510706054,Texas Pacific Oil Co.,1 Bear,40.540429,-107.340993,7N,89W,26,NW NE,Sixth Principal,"6,949",KB,GRB-2021-43,"2,980","3,010",Lewis,7.58,433,0.09,1.63,1.72,0.50,0.05,3,1.46,2.37,112,34,6,DZ21010,E210502-043,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-44,640,650,Lewis,5.50,428,0.93,1.33,2.26,0.62,0.41,2,1.34,2.00,99,46,69,CZ03245,E210502-044,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-45,650,660,Lewis,8.08,432,0.48,1.11,1.59,0.42,0.30,3,1.04,2.01,107,40,46,CZ03245,E210502-045,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-46,700,730,Lewis,9.91,430,0.67,1.59,2.26,0.57,0.30,3,1.29,2.48,123,44,52,CZ03245,E210502-046,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-47,730,750,Lewis,14.99,427,0.71,3.87,4.58,0.66,0.16,6,1.98,3.78,195,33,36,CZ03245,E210502-047,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-48,850,870,Asquith,9.00,429,0.4,2.18,2.58,0.53,0.16,4,1.52,2.60,143,35,26,CZ03245,E210502-048,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-49,870,890,Asquith,8.41,425,0.49,4.99,5.48,0.97,0.09,5,2.71,3.72,184,36,18,CZ03245,E210502-049,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-50,"1,070","1,090",Lewis,6.25,434,0.18,1.90,2.08,0.47,0.09,4,1.53,2.28,124,31,12,CZ03245,E210502-050,,,,,,
10,4900705098,Sohio Petroleum,Cow Creek Unit 3,41.38157,-107.69984,16N,92W,1,SE SW,Sixth Principal,"6,710",KB,GRB-2021-51,"1,090","1,120",Lewis,9.66,430,0.31,1.34,1.65,0.55,0.19,2,1.31,2.47,102,42,24,CZ03245,E210502-051,,,,,,
11,4900705044,Caulkins Oil Co.,Dutch Joe Unit 1,41.106214,-107.575161,13N,91W,12,SE SE,Sixth Principal,"6,730",KB,GRB-2021-52,"2,950","2,960",Lewis,4.91,432,0.02,1.58,1.60,0.35,0.01,5,1.41,2.00,112,25,1,CZ00275,E210502-052 extracted,,,,,,
11,4900705044,Caulkins Oil Co.,Dutch Joe Unit 1,41.106214,-107.575161,13N,91W,12,SE SE,Sixth Principal,"6,730",KB,GRB-2021-53,"2,960","2,980",Asquith,6.41,431,0.02,2.17,2.19,0.47,0.01,5,1.65,2.42,132,28,1,CZ00275,E210502-053 extracted,,,,,,
11,4900705044,Caulkins Oil Co.,Dutch Joe Unit 1,41.106214,-107.575161,13N,91W,12,SE SE,Sixth Principal,"6,730",KB,GRB-2021-54,"2,980","2,990",Asquith,7.41,428,0.03,5.20,5.23,0.59,0.01,9,2.41,3.30,216,24,1,CZ00275,E210502-054 extracted,,,,,,
11,4900705044,Caulkins Oil Co.,Dutch Joe Unit 1,41.106214,-107.575161,13N,91W,12,SE SE,Sixth Principal,"6,730",KB,GRB-2021-55,"3,210","3,230",Lewis,5.66,434,0.03,1.19,1.22,0.36,0.02,3,1.21,1.89,98,30,2,CZ00275,E210502-055 extracted,,,,,,
12,4903705380,Padon Co.,1 Blair Land & Livestock,41.53861,-108.68683,18N,100W,16,SW NE,Sixth Principal,"6,622",KB,GRB-2021-56,880,910,Asquith,9.16,426,0.28,1.98,2.26,0.93,0.12,2,2.05,3.15,97,45,14,CZ04261,E210502-056,,,,,,
12,4903705380,Padon Co.,1 Blair Land & Livestock,41.53861,-108.68683,18N,100W,16,SW NE,Sixth Principal,"6,622",KB,GRB-2021-57,920,950,Asquith/Lewis,7.91,429,0.29,1.08,1.37,1.01,0.21,1,1.98,2.93,55,51,15,CZ04261,E210502-057,,,,,,
13,4903705477,Union Pacific R.R.,UPRR 11-3,41.571393,-108.674566,18N,100W,3,NW NW,Sixth Principal,"6,937",KB,GRB-2021-58,"1,190","1,210",Asquith,8.16,431,0.03,2.72,2.75,0.54,0.01,5,1.69,2.67,161,32,2,CZ04405,E210502-058 extracted,,,,,,
13,4903705477,Union Pacific R.R.,UPRR 11-3,41.571393,-108.674566,18N,100W,3,NW NW,Sixth Principal,"6,937",KB,GRB-2021-59,"1,210","1,240",Asquith/Lewis,7.41,427,0.1,5.99,6.09,0.70,0.02,9,2.61,3.50,230,27,4,CZ04405,E210502-059 extracted,,,,,,
13,4903705477,Union Pacific R.R.,UPRR 11-3,41.571393,-108.674566,18N,100W,3,NW NW,Sixth Principal,"6,937",KB,GRB-2021-60,"1,240","1,270",Lewis,10.16,427,0.07,2.36,2.43,0.65,0.03,4,1.86,3.08,127,35,4,CZ04405,E210502-060 extracted,,,,,,
