level,group,rho,p,n,Ro_median,Ro_span
formation,KAYAK,-0.44182767325117667,0.0005801685478898765,57,2.51,4.23
formation,UNKNOWN,0.3676671682717243,0.005308642347787867,56,1.91,4.4
formation,SAGAVANIRKTOK,-0.033329815617782366,0.8299389291520257,44,0.445,1.67
formation,HUE SH,0.5098919965160352,0.0005619927154984474,42,0.535,0.65
formation,SADLEROCHIT GP,-0.47340217010031044,0.00177127164187213,41,0.93,2.45
formation,KINGAK SH,0.7665358819659575,7.937445598844076e-08,35,0.94,2.77
formation,SAG RIVER SD,-0.32207688827949676,0.06322364774604199,34,0.7,2.66
formation,CANNING,0.474993135372311,0.006012089429230788,32,0.8300000000000001,1.5699999999999998
formation,FORTRESS MTN,0.10342140670714857,0.5865416273223163,30,0.65,3.8699999999999997
formation,HUE SHALE,0.4726989079563184,0.008343605537880482,30,0.755,0.94
formation,COLVILLE,0.3224498699812007,0.08801322296138399,29,0.45,0.21000000000000002
formation,OTUK,0.7839615266285099,4.884901279930737e-07,29,0.91,1.9000000000000001
formation,SCHRADER BLUFF,0.18978156172146393,0.3334073177348086,28,0.5,0.5900000000000001
formation,BARROW /SD/,0.28284587828223545,0.15284638012200308,27,0.49,0.43000000000000005
formation,SEABEE,-0.1393358115028689,0.516116841680242,24,0.515,0.25999999999999995
formation,L TOROKFRT MTN,0.3665187975631348,0.08539848299710774,23,1.22,1.05
formation,Upper Bakken,0.8699861015596062,6.941628043770814e-08,23,0.72,0.6599999999999999
formation,PALEOCENE,0.18337320140672694,0.41401303008350454,22,0.65,0.48
formation,CORWIN,0.3965225413166192,0.08346986649293966,20,0.64,0.30000000000000004
formation,Suzak,-0.13312829525483305,0.5869055885138488,19,1.22,4.75
formation,BASEMENT CMPLX,0.29323968393327476,0.2230586422101169,19,1.29,4.51
formation,KANAYUT CGL,-0.2154331406380757,0.3905970879308378,18,2.31,3.9299999999999997
formation,JURASSIC,0.37560420721783405,0.12453085888670498,18,0.45999999999999996,0.36999999999999994
formation,KAVIK MBR,-0.4684243676274503,0.05789734278326146,17,2.52,3.8200000000000003
formation,KILLIK TONGUE,0.06213024549459871,0.8191943366859075,16,0.565,0.26999999999999996
formation,LEDGE SS MBR,-0.19661266568483063,0.46549644347304453,16,0.8049999999999999,1.75
formation,SIMPSON SD,-0.19335925000958745,0.473057648825984,16,0.75,1.9900000000000002
formation,Stepovak,0.7989228007181327,0.00035344480750623816,15,0.67,0.6699999999999999
formation,SIKSIKPUK,0.27280858676207514,0.3252384436905952,15,1.95,2.79
formation,HERMOSA,-0.2517706305344985,0.3852179988479858,14,0.655,1.1099999999999999
formation,KEMIK SD,-0.30986683868975945,0.3270050102150108,12,0.54,2.04
formation,KUPARUK,-0.35563600747067675,0.2565787549140527,12,0.52,0.2
