Sample,As_ppm,Ds_ppm,Ts_ppm,Total_ppm,MD4_3_ppm,MAI,EAI,DMAI1,DMAI2,TMAI1,TMAI2,MDI,DMDI1,DMDI2,MTI,MAs_MDs,Rc_pct,EASY_Ro,Facies,region,endmember,system
YM7,1411.0,62,2.9,1476.0,31.6,0.57,0.33,0.56,0.34,0.28,0.36,0.35,0.26,0.51,0.38,7.9,1.29,1.11,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM9,1751.0,80,3.3,1834.0,42.2,0.58,0.34,0.56,0.34,0.29,0.37,0.35,0.23,0.5,0.39,7.5,1.3,1.15,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM16,1685.0,64,2.5,1752.0,33.3,0.58,0.32,0.56,0.34,0.3,0.38,0.37,0.25,0.53,0.41,9.0,1.34,1.01,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM17,1387.0,60,2.7,1450.0,31.6,0.56,0.33,0.56,0.34,0.29,0.37,0.36,0.24,0.52,0.42,7.6,1.32,1.1,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM19,1519.0,62,3.1,1585.0,31.9,0.59,0.33,0.58,0.36,0.3,0.38,0.36,0.25,0.52,0.4,8.5,1.31,1.09,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM21,1851.0,75,2.9,1929.0,38.9,0.56,0.33,0.53,0.32,0.3,0.37,0.36,0.24,0.54,0.41,8.8,1.3,1.03,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM35,237.0,11,0.0,248.0,5.6,0.44,0.21,0.51,0.3,0.23,0.32,0.3,0.17,0.4,,8.0,1.16,1.01,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
YM41,451.0,23,0.9,475.0,11.7,0.47,0.23,0.51,0.3,0.24,0.33,0.31,0.22,0.56,0.5,7.5,1.19,1.06,III,Yingmai,coaly-III,Kuqa(high-maturity light oil)
HQ1,1601.0,64,2.2,1667.0,34.5,0.51,0.27,0.5,0.3,0.25,0.33,0.34,0.21,0.54,0.36,9.3,1.26,0.87,III,Hongqi,coaly-III,Kuqa(high-maturity light oil)
HQ2,1515.0,62,2.2,1579.0,32.6,0.51,0.27,0.5,0.3,0.25,0.34,0.33,0.22,0.49,0.35,8.9,1.25,0.91,III,Hongqi,coaly-III,Kuqa(high-maturity light oil)
YH5-1,1448.0,95,5.5,1549.0,50.5,0.5,0.27,0.51,0.31,0.25,0.33,0.39,0.25,0.54,0.43,5.2,1.38,1.31,II,Yaha,lacustrine-II,Kuqa(high-maturity light oil)
YH5-2,396.0,29,1.8,427.0,14.1,0.46,0.23,0.5,0.31,0.23,0.33,0.23,0.22,0.41,0.51,5.3,0.99,1.31,II,Yaha,lacustrine-II,Kuqa(high-maturity light oil)
YH701-1,1439.0,88,5.4,1533.0,46.3,0.5,0.26,0.52,0.31,0.24,0.31,0.35,0.25,0.55,0.4,5.5,1.29,1.24,II,Yaha,lacustrine-II,Kuqa(high-maturity light oil)
YH701-2,1402.0,100,6.9,1509.0,52.4,0.5,0.26,0.52,0.31,0.24,0.32,0.36,0.25,0.53,0.43,4.6,1.31,1.35,II,Yaha,lacustrine-II,Kuqa(high-maturity light oil)
YH7x-1,384.0,35,1.1,420.0,14.2,0.43,0.24,0.45,0.28,0.21,0.3,0.11,0.2,0.29,0.54,4.4,0.71,1.34,II,Yaha,lacustrine-II,Kuqa(high-maturity light oil)
