map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
15,4901320225,Oil and Gas Futures of Texas,1 Reserve-Govt.,42.58333,-108.10639,30N,94W,8,sw sw,Sixth Principal,"6,671",KB,WRB-2018-32,"2,040","2,050",Mowry,2.75,427,0.35,5.09,5.44,0.68,0.06,7,1.83,2.16,278,37,19,E181009-032
15,4901320225,Oil and Gas Futures of Texas,1 Reserve-Govt.,42.58333,-108.10639,30N,94W,8,sw sw,Sixth Principal,"6,671",KB,WRB-2018-33,"2,080","2,110",Mowry,2.75,426,0.3,4.77,5.07,0.70,0.06,7,1.92,2.25,248,36,16,E181009-033
16,4901320128,Apache Corp.,US-Tomahawk 1,42.798346,-108.608202,33N,98W,30,se se,Sixth Principal,"5,463",KB,WRB-2018-34,"1,730","1,740",Mowry,1.83,427,0.43,4.58,5.01,0.43,0.09,11,1.92,2.14,238,22,22,E181009-034
16,4901320128,Apache Corp.,US-Tomahawk 1,42.798346,-108.608202,33N,98W,30,se se,Sixth Principal,"5,463",KB,WRB-2018-35,"1,790","1,810",Mowry,1.33,425,0.51,5.79,6.30,0.68,0.08,9,2.17,2.33,267,31,23,E181009-035
16,4901320128,Apache Corp.,US-Tomahawk 1,42.798346,-108.608202,33N,98W,30,se se,Sixth Principal,"5,463",KB,WRB-2018-36,"1,890","1,900",Mowry,2.33,426,0.37,4.23,4.60,0.66,0.08,6,2.12,2.40,200,31,17,E181009-036
17,4902505487,Jones & Jones,Govt 1-9-C,42.764699,-107.144181,32N,86W,9,ne nw,Sixth Principal,"6,650",KB,WRB-2018-37,"2,480","2,500",Mowry,3.00,428,0.25,3.45,3.70,0.74,0.07,5,2.04,2.40,169,36,12,E181009-037
17,4902505487,Jones & Jones,Govt 1-9-C,42.764699,-107.144181,32N,86W,9,ne nw,Sixth Principal,"6,650",KB,WRB-2018-38,"2,540","2,560",Mowry,2.00,418,0.59,9.40,9.99,0.64,0.06,15,2.83,3.07,332,23,21,E181009-038
17,4902505487,Jones & Jones,Govt 1-9-C,42.764699,-107.144181,32N,86W,9,ne nw,Sixth Principal,"6,650",KB,WRB-2018-39,"2,600","2,620",Mowry,4.00,417,0.44,9.35,9.79,0.70,0.04,13,3.19,3.67,293,22,14,E181009-039
17,4902505487,Jones & Jones,Govt 1-9-C,42.764699,-107.144181,32N,86W,9,ne nw,Sixth Principal,"6,650",KB,WRB-2018-40,"2,670","2,680",Mowry,0.83,422,0.2,1.31,1.51,1.01,0.13,1,2.43,2.53,54,42,8,E181009-040
17,4902505487,Jones & Jones,Govt 1-9-C,42.764699,-107.144181,32N,86W,9,ne nw,Sixth Principal,"6,650",KB,WRB-2018-41,"2,720","2,740",Shell Creek,2.75,431,0.2,1.55,1.75,0.45,0.11,3,1.28,1.61,121,35,16,E181009-041
