l,llcl_muK2
578,4756.7055
579,4777.0664
580,4798.5888
581,4821.1819
582,4844.7504
583,4869.1960
584,4894.4190
585,4920.3185
586,4946.7942
587,4973.7468
588,5001.0789
589,5028.6956
590,5056.5050
591,5084.4187
592,5112.3518
593,5140.2238
594,5167.9578
595,5195.4816
596,5222.7268
597,5249.6293
598,5276.1291
599,5302.1700
600,5327.6997
601,5352.6694
602,5377.0339
603,5400.7511
604,5423.7819
605,5446.0901
606,5467.6422
607,5488.4071
608,5508.3559
609,5527.4620
610,5545.7008
611,5563.0494
612,5579.4866
613,5594.9930
614,5609.5506
615,5623.1426
616,5635.7540
617,5647.3708
618,5657.9800
619,5667.5703
620,5676.1310
621,5683.6527
622,5690.1272
623,5695.5470
624,5699.9058
625,5703.1984
626,5705.4202
627,5706.5679
628,5706.6390
629,5705.6318
630,5703.5459
631,5700.3813
632,5696.1395
633,5690.8223
634,5684.4327
635,5676.9747
636,5668.4530
637,5658.8732
638,5648.2416
639,5636.5658
640,5623.8537
641,5610.1145
642,5595.3580
643,5579.5948
644,5562.8363
645,5545.0949
646,5526.3836
647,5506.7162
648,5486.1072
649,5464.5720
650,5442.1266
651,5418.7877
652,5394.5730
653,5369.5004
654,5343.5889
655,5316.8578
656,5289.3273
657,5261.0182
658,5231.9517
659,5202.1498
660,5171.6349
661,5140.4300
662,5108.5587
663,5076.0449
664,5042.9133
665,5009.1887
666,4974.8966
667,4940.0629
668,4904.7136
669,4868.8755
670,4832.5754
671,4795.8406
672,4758.6987
673,4721.1776
674,4683.3053
675,4645.1102
676,4606.6208
677,4567.8658
678,4528.8742
679,4489.6750
680,4450.2972
681,4410.7702
682,4371.1233
683,4331.3856
684,4291.5867
685,4251.7558
686,4211.9223
687,4172.1153
688,4132.3641
689,4092.6977
690,4053.1450
691,4013.7349
692,3974.4959
693,3935.4564
694,3896.6446
695,3858.0884
696,3819.8155
697,3781.8533
698,3744.2289
699,3706.9690
700,3670.0999
701,3633.6476
702,3597.6378
703,3562.0957
704,3527.0460
705,3492.5130
706,3458.5205
707,3425.0918
708,3392.2498
709,3360.0167
710,3328.4143
711,3297.4638
712,3267.1856
713,3237.5999
714,3208.7260
715,3180.5827
716,3153.1881
717,3126.5596
718,3100.7140
719,3075.6675
720,3051.4355
721,3028.0326
722,3005.4730
723,2983.7699
724,2962.9358
725,2942.9825
726,2923.9212
727,2905.7620
728,2888.5146
729,2872.1878
730,2856.7894
731,2842.3268
732,2828.8063
733,2816.2337
734,2804.6136
735,2793.9503
736,2784.2470
737,2775.5061
738,2767.7293
739,2760.9176
740,2755.0711
741,2750.1892
742,2746.2704
743,2743.3125
744,2741.3128
745,2740.2675
746,2740.1725
747,2741.0227
748,2742.8126
749,2745.5362
750,2749.1868
751,2753.7573
752,2759.2404
753,2765.6285
754,2772.9139
755,2781.0888
756,2790.1458
757,2800.0780
758,2810.8790
759,2822.5434
760,2835.0672
761,2848.4479
762,2862.6851
763,2877.7807
764,2893.7398
765,2910.5706
766,2928.2856
767,2946.9015
768,2966.4400
769,2986.9284
770,3008.3999
771,3030.8939
772,3054.4566
773,3079.1408
774,3105.0060
775,3132.1181
776,3160.5489
777,3190.3757
778,3221.6795
779,3254.5442
780,3289.0546
781,3325.2939
782,3363.3417
783,3403.2711
784,3445.1449
785,3489.0129
786,3534.9077
787,3582.8415
788,3632.8019
789,3684.7485
790,3738.6099
791,3794.2804
792,3851.6178
793,3910.4420
794,3970.5340
795,4031.6361
796,4093.4532
797,4155.6554
798,4217.8809
799,4279.7412
800,4340.8267
801,4400.7128
802,4458.9683
803,4515.1628
804,4568.8757
805,4619.7048
806,4667.2750
807,4711.2464
808,4751.3225
809,4787.2562
810,4818.8564
811,4845.9915
812,4868.5926
813,4886.6549
814,4900.2370
815,4909.4593
816,4914.5002
817,4915.5912
818,4913.0106
819,4907.0767
820,4898.1392
821,4886.5710
822,4872.7593
823,4857.0969
824,4839.9736
825,4821.7683
826,4802.8423
827,4783.5321
828,4764.1450
829,4744.9547
830,4726.1981
831,4708.0742
832,4690.7426
833,4674.3244
834,4658.9037
835,4644.5288
836,4631.2159
837,4618.9519
838,4607.6979
839,4597.3934
840,4587.9597
841,4579.3042
842,4571.3236
843,4563.9079
844,4556.9429
845,4550.3134
846,4543.9056
847,4537.6090
848,4531.3180
849,4524.9332
850,4518.3623
851,4511.5209
852,4504.3326
853,4496.7291
854,4488.6504
855,4480.0441
856,4470.8655
857,4461.0767
858,4450.6466
859,4439.5497
860,4427.7662
861,4415.2811
862,4402.0837
863,4388.1673
864,4373.5283
865,4358.1664
866,4342.0838
867,4325.2849
868,4307.7762
869,4289.5657
870,4270.6632
871,4251.0795
872,4230.8269
873,4209.9183
874,4188.3679
875,4166.1905
876,4143.4015
877,4120.0172
878,4096.0544
879,4071.5304
880,4046.4630
881,4020.8706
882,3994.7718
883,3968.1858
884,3941.1322
885,3913.6309
886,3885.7019
887,3857.3659
888,3828.6437
889,3799.5563
890,3770.1251
891,3740.3717
892,3710.3179
893,3679.9855
894,3649.3969
895,3618.5743
896,3587.5401
897,3556.3169
898,3524.9273
899,3493.3942
900,3461.7403
901,3429.9884
902,3398.1615
903,3366.2823
904,3334.3739
905,3302.4589
906,3270.5601
907,3238.7003
908,3206.9021
909,3175.1879
